Model name,Wins,Points
ga_generation_25_nn_3.keras, 1, 351
ga_generation_26_nn_17.keras, 1, 293
ga_generation_26_nn_6.keras, 0, 276
ga_generation_26_nn_4.keras, 1, 313
ga_generation_26_nn_5.keras, 2, 349
ga_generation_26_nn_1.keras, 0, 285
ga_generation_26_nn_14.keras, 2, 386
ga_generation_26_nn_19.keras, 3, 408
ga_generation_26_nn_20.keras, 0, 275
ga_generation_26_nn_16.keras, 0, 285
ga_generation_26_nn_13.keras, 3, 370
ga_generation_26_nn_7.keras, 2, 310
ga_generation_26_nn_15.keras, 0, 274
ga_generation_26_nn_12.keras, 0, 308
ga_generation_26_nn_2.keras, 1, 261
ga_generation_26_nn_11.keras, 0, 237
ga_generation_26_nn_3.keras, 0, 241
ga_generation_26_nn_9.keras, 1, 271
ga_generation_26_nn_8.keras, 0, 282
ga_generation_26_nn_18.keras, 1, 304
ga_generation_26_nn_10.keras, 1, 258
ga_generation_27_nn_12.keras, 4, 455
ga_generation_27_nn_3.keras, 0, 282
ga_generation_27_nn_20.keras, 2, 334
ga_generation_27_nn_16.keras, 0, 259
ga_generation_27_nn_9.keras, 2, 367
ga_generation_27_nn_15.keras, 1, 239
ga_generation_27_nn_7.keras, 1, 264
ga_generation_27_nn_4.keras, 2, 320
ga_generation_27_nn_13.keras, 0, 271
ga_generation_27_nn_18.keras, 1, 290
ga_generation_27_nn_8.keras, 0, 207
ga_generation_27_nn_14.keras, 0, 280
ga_generation_27_nn_1.keras, 1, 297
ga_generation_27_nn_10.keras, 1, 366
ga_generation_27_nn_11.keras, 1, 319
ga_generation_27_nn_2.keras, 2, 345
ga_generation_27_nn_5.keras, 3, 403
ga_generation_27_nn_19.keras, 2, 336
ga_generation_27_nn_6.keras, 2, 360
ga_generation_27_nn_17.keras, 2, 320
ga_generation_28_nn_17.keras, 0, 289
ga_generation_28_nn_6.keras, 0, 308
ga_generation_28_nn_7.keras, 0, 280
ga_generation_28_nn_20.keras, 3, 390
ga_generation_28_nn_14.keras, 0, 298
ga_generation_28_nn_18.keras, 2, 269
ga_generation_28_nn_10.keras, 1, 340
ga_generation_28_nn_13.keras, 4, 419
ga_generation_28_nn_2.keras, 0, 257
ga_generation_28_nn_15.keras, 0, 236
ga_generation_28_nn_5.keras, 2, 292
ga_generation_28_nn_3.keras, 2, 349
ga_generation_28_nn_1.keras, 1, 325
ga_generation_28_nn_4.keras, 1, 276
ga_generation_28_nn_19.keras, 0, 298
ga_generation_28_nn_9.keras, 3, 403
ga_generation_28_nn_16.keras, 1, 308
ga_generation_28_nn_8.keras, 0, 281
ga_generation_28_nn_12.keras, 1, 305
ga_generation_28_nn_11.keras, 3, 341
ga_generation_29_nn_19.keras, 2, 389
ga_generation_29_nn_18.keras, 1, 294
ga_generation_29_nn_10.keras, 2, 370
ga_generation_29_nn_11.keras, 1, 316
ga_generation_29_nn_8.keras, 0, 327
ga_generation_29_nn_7.keras, 2, 321
ga_generation_29_nn_6.keras, 1, 312
ga_generation_29_nn_13.keras, 1, 321
ga_generation_29_nn_3.keras, 4, 456
ga_generation_29_nn_17.keras, 1, 348
ga_generation_29_nn_20.keras, 0, 273
ga_generation_29_nn_14.keras, 0, 208
ga_generation_29_nn_9.keras, 0, 266
ga_generation_29_nn_15.keras, 3, 378
ga_generation_29_nn_16.keras, 2, 355
ga_generation_29_nn_1.keras, 1, 392
