Model name,Wins,Points
ga_generation_21_nn_13.keras, 3, 383
ga_generation_22_nn_11.keras, 0, 288
ga_generation_23_nn_15.keras, 1, 316
ga_generation_23_nn_13.keras, 3, 383
ga_generation_23_nn_9.keras, 0, 282
ga_generation_21_nn_11.keras, 0, 296
ga_generation_23_nn_10.keras, 1, 282
ga_generation_23_nn_14.keras, 2, 338
ga_generation_23_nn_16.keras, 1, 265
ga_generation_22_nn_8.keras, 0, 313
ga_generation_21_nn_12.keras, 0, 270
ga_generation_23_nn_7.keras, 0, 231
ga_generation_23_nn_12.keras, 0, 341
ga_generation_23_nn_11.keras, 2, 369
ga_generation_22_nn_12.keras, 0, 200
ga_generation_23_nn_8.keras, 1, 331
ga_generation_24_nn_11.keras, 2, 354
ga_generation_23_nn_11.keras, 1, 306
ga_generation_24_nn_12.keras, 1, 260
ga_generation_24_nn_14.keras, 1, 280
ga_generation_23_nn_13.keras, 0, 301
ga_generation_24_nn_15.keras, 2, 335
ga_generation_24_nn_9.keras, 0, 274
ga_generation_24_nn_16.keras, 1, 383
ga_generation_24_nn_10.keras, 4, 437
ga_generation_24_nn_13.keras, 1, 287
ga_generation_24_nn_7.keras, 0, 285
ga_generation_23_nn_15.keras, 1, 339
ga_generation_23_nn_14.keras, 0, 308
ga_generation_24_nn_8.keras, 2, 344
ga_generation_23_nn_8.keras, 0, 311
ga_generation_21_nn_13.keras, 2, 315
ga_generation_25_nn_15.keras, 1, 305
ga_generation_25_nn_13.keras, 1, 310
ga_generation_24_nn_15.keras, 1, 286
ga_generation_24_nn_10.keras, 3, 391
ga_generation_25_nn_8.keras, 0, 332
ga_generation_21_nn_13.keras, 2, 379
ga_generation_25_nn_11.keras, 3, 367
ga_generation_25_nn_10.keras, 1, 260
ga_generation_24_nn_11.keras, 1, 346
ga_generation_25_nn_7.keras, 2, 318
ga_generation_24_nn_16.keras, 1, 333
ga_generation_25_nn_14.keras, 0, 270
ga_generation_25_nn_16.keras, 0, 263
ga_generation_25_nn_9.keras, 2, 330
ga_generation_24_nn_8.keras, 1, 327
ga_generation_25_nn_12.keras, 0, 291
ga_generation_26_nn_7.keras, 0, 305
ga_generation_21_nn_13.keras, 1, 277
ga_generation_25_nn_9.keras, 1, 334
ga_generation_26_nn_9.keras, 0, 266
ga_generation_26_nn_8.keras, 1, 305
ga_generation_26_nn_12.keras, 0, 284
ga_generation_25_nn_7.keras, 0, 313
ga_generation_26_nn_14.keras, 1, 292
ga_generation_25_nn_11.keras, 3, 366
ga_generation_24_nn_11.keras, 1, 278
ga_generation_26_nn_10.keras, 0, 185
ga_generation_26_nn_15.keras, 1, 380
ga_generation_26_nn_13.keras, 0, 300
ga_generation_24_nn_10.keras, 0, 244
ga_generation_26_nn_11.keras, 3, 411
ga_generation_26_nn_16.keras, 0, 286
ga_generation_25_nn_9.keras, 1, 344
ga_generation_27_nn_9.keras, 2, 424
ga_generation_27_nn_12.keras, 1, 343
ga_generation_27_nn_14.keras, 1, 386
ga_generation_26_nn_11.keras, 1, 344
ga_generation_25_nn_11.keras, 0, 247
ga_generation_27_nn_8.keras, 1, 371
ga_generation_27_nn_7.keras, 1, 320
ga_generation_26_nn_14.keras, 1, 278
ga_generation_27_nn_16.keras, 2, 335
ga_generation_26_nn_8.keras, 0, 256
ga_generation_27_nn_10.keras, 1, 342
ga_generation_27_nn_13.keras, 1, 275
ga_generation_27_nn_15.keras, 1, 347
ga_generation_26_nn_15.keras, 0, 259
ga_generation_27_nn_11.keras, 1, 358
ga_generation_27_nn_14.keras, 0, 311
ga_generation_28_nn_12.keras, 2, 397
ga_generation_27_nn_9.keras, 1, 260
ga_generation_28_nn_14.keras, 2, 286
ga_generation_28_nn_9.keras, 3, 398
ga_generation_27_nn_11.keras, 0, 342
ga_generation_27_nn_15.keras, 1, 286
ga_generation_28_nn_11.keras, 0, 267
ga_generation_27_nn_8.keras, 0, 348
ga_generation_28_nn_13.keras, 1, 310
ga_generation_28_nn_15.keras, 0, 340
ga_generation_28_nn_10.keras, 1, 343
ga_generation_28_nn_16.keras, 0, 267
ga_generation_28_nn_7.keras, 2, 365
ga_generation_27_nn_16.keras, 0, 316
ga_generation_28_nn_8.keras, 1, 380
ga_generation_28_nn_7.keras, 0, 283
ga_generation_28_nn_9.keras, 1, 315
ga_generation_29_nn_16.keras, 2, 352
ga_generation_29_nn_14.keras, 1, 312
ga_generation_29_nn_15.keras, 2, 336
ga_generation_28_nn_14.keras, 1, 296
ga_generation_29_nn_13.keras, 1, 288
ga_generation_29_nn_10.keras, 1, 365
ga_generation_29_nn_11.keras, 1, 343
ga_generation_29_nn_12.keras, 1, 303
ga_generation_29_nn_7.keras, 0, 357
ga_generation_28_nn_10.keras, 2, 301
ga_generation_29_nn_8.keras, 1, 339
ga_generation_29_nn_9.keras, 2, 330
ga_generation_28_nn_12.keras, 0, 291
ga_generation_28_nn_8.keras, 2, 398
ga_generation_29_nn_10.keras, 0, 271
ga_generation_29_nn_9.keras, 1, 297
ga_generation_30_nn_8.keras, 1, 313
ga_generation_30_nn_14.keras, 2, 359
ga_generation_30_nn_13.keras, 2, 302
ga_generation_30_nn_16.keras, 0, 322
ga_generation_30_nn_10.keras, 0, 369
ga_generation_29_nn_16.keras, 1, 330
ga_generation_30_nn_9.keras, 3, 408
ga_generation_30_nn_11.keras, 0, 271
ga_generation_30_nn_15.keras, 1, 289
ga_generation_28_nn_8.keras, 0, 282
